subjCode,Datetime,Block_ix,Trial_ix,Sound_x,Sound_y,Reversed,Category,Similarity,Notes,Repeat,Response_time,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 10:30:04 pm",1,1,62,181,0,tear,1,None,0,987,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 10:30:11 pm",1,2,185,238,1,tear,1,None,0,1202,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:47:54 pm",1,1,62,181,0,tear,4,None,0,3641,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:47:57 pm",1,2,185,238,1,tear,6,None,0,1996,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:47:58 pm",1,3,86,185,1,tear,6,None,0,684,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:47:59 pm",1,4,486,537,0,tear,6,None,0,529,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:47:59 pm",1,5,420,486,0,tear,6,None,0,119,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:00 pm",1,6,335,420,0,tear,6,None,0,110,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:00 pm",1,7,268,335,1,tear,6,None,0,263,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:01 pm",1,8,217,268,1,tear,6,None,0,293,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:02 pm",1,9,138,217,0,tear,6,None,0,120,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:03 pm",1,10,439,527,0,tear,6,None,0,93,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:03 pm",1,11,382,439,0,tear,6,None,0,285,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:04 pm",1,12,349,382,1,tear,6,None,0,238,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:04 pm",1,13,229,349,1,tear,6,None,0,93,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:05 pm",1,14,175,229,1,tear,6,None,0,266,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:06 pm",1,15,59,175,0,tear,6,None,0,113,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:06 pm",1,16,503,522,0,tear,6,None,0,106,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:07 pm",1,17,367,503,1,tear,6,None,0,327,workerId,assignmentId,hitId
subjCode,"October 28th 2017, 11:48:08 pm",1,18,354,367,1,tear,6,None,0,134,workerId,assignmentId,hitId
