name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
sucker,2017-07-19 18:09:37.696000,3,192,483,524,1,glass,6,None,0
sucker,2017-07-19 18:09:37.696000,3,193,116,307,1,glass,3,None,0
sucker,2017-07-19 18:15:03.926929,2,92,379,406,0,glass,1,None,0
sucker,2017-07-19 18:15:03.926929,2,93,406,496,0,glass,2,None,0
sucker,2017-07-19 18:15:03.926929,2,94,496,502,0,glass,3,None,0
sucker,2017-07-19 18:15:03.926929,2,95,277,314,1,glass,5,None,0
sucker,2017-07-19 18:15:03.926929,2,96,226,355,1,glass,6,None,0
sucker,2017-07-19 18:15:03.926929,2,97,336,445,1,glass,7,None,0
sucker,2017-07-19 18:15:03.926929,2,98,355,399,1,glass,1,None,0
sucker,2017-07-19 18:15:03.926929,2,99,399,498,1,glass,2,None,0
sucker,2017-07-19 18:15:03.926929,2,100,235,379,0,glass,3,None,0
sucker,2017-07-19 18:15:03.926929,2,101,314,336,1,glass,4,None,0
sucker,2017-07-19 18:15:03.926929,2,102,56,235,0,glass,5,None,0
sucker,2017-07-19 18:15:03.926929,2,103,411,491,0,glass,6,None,0
sucker,2017-07-19 18:15:03.926929,2,104,471,533,1,glass,7,None,0
sucker,2017-07-19 18:15:03.926929,2,105,427,471,0,glass,1,None,0
sucker,2017-07-19 18:15:03.926929,2,106,321,427,0,glass,2,None,0
sucker,2017-07-19 18:15:03.926929,2,107,284,321,1,glass,3,None,0
sucker,2017-07-19 18:15:03.926929,2,108,101,284,1,glass,4,None,0
sucker,2017-07-19 18:15:03.926929,2,109,63,251,0,glass,5,None,0
sucker,2017-07-19 18:15:03.926929,2,110,549,556,0,glass,6,None,0
sucker,2017-07-19 18:15:03.926929,2,111,491,549,1,glass,7,None,0
sucker,2017-07-19 18:15:03.926929,2,112,498,513,0,glass,1,None,0
sucker,"July 24th 2017, 8:46:26 pm",1,1,62,181,1,tear,1,None,0
sucker,"July 24th 2017, 8:46:29 pm",1,2,238,302,0,tear,1,None,0
sucker,"July 24th 2017, 8:46:42 pm",1,3,185,238,0,tear,2,None,0
sucker,"July 24th 2017, 8:46:43 pm",1,4,86,185,0,tear,1,None,0
sucker,"July 24th 2017, 8:46:43 pm",1,5,486,537,0,tear,2,None,0
sucker,"July 24th 2017, 8:46:44 pm",1,6,420,486,1,tear,2,None,0
